,Departamento,Capital,Barrio,long,lat
79,NARIÑO,PASTO (CT),CUJACAL CENTRO,-77.2481756,1.2335611000000002
80,NARIÑO,PASTO (CT),LOS ALAMOS,-77.27825159999998,1.2146286
81,NARIÑO,PASTO (CT),CAPUSIGRA,-77.2882288,1.2084815
82,NARIÑO,PASTO (CT),CAICEDO BAJO,-77.2843442,1.1996938999999998
83,NARIÑO,PASTO (CT),SINDAMANOY,-77.2944131,1.2169061
84,NARIÑO,PASTO (CT),EL BOSQUE,-77.293886,1.2087392
85,NARIÑO,PASTO (CT),MARILUZ,-77.2937652,1.2214812
86,NARIÑO,PASTO (CT),LOS ROBLES,-77.27825159999998,1.2146286
87,NARIÑO,PASTO (CT),EL REMANSO,-77.29318008458904,1.2260581
88,NARIÑO,PASTO (CT),CAICEDO,-77.2843442,1.1996938999999998
89,NARIÑO,PASTO (CT),BELLA VISTA,-77.27825159999998,1.2146286
90,NARIÑO,PASTO (CT),VDA. SAN PEDRO,-77.27825159999998,1.2146286
91,NARIÑO,PASTO (CT),BALCONES,-77.29741904307559,1.2255488
92,NARIÑO,PASTO (CT),LA PRIMAVERA,-77.29293879999999,1.2098928999999998
93,NARIÑO,PASTO (CT),ESEQUIEL MORENO,-77.2663522,1.1930661
94,NARIÑO,PASTO (CT),LUIS CARLOS GALAN,-77.2851385,1.193323
95,NARIÑO,PASTO (CT),SAN SEBASTIAN,-77.2841189,1.1967392
96,NARIÑO,PASTO (CT),INEM,-77.2484554,1.1897652
97,NARIÑO,PASTO (CT),COLON,-77.29610179999997,1.2137723
98,NARIÑO,PASTO (CT),VILLA VERGEL,-77.2936834,1.2121291
99,NARIÑO,PASTO (CT),VILLA CAMPANELA,-77.29296240000002,1.2133643
100,NARIÑO,PASTO (CT),NUEVA COLOMBIA,-77.2827666,1.1989071000000002
101,NARIÑO,PASTO (CT),NIZA III,-77.2816784,1.2005663999999998
102,NARIÑO,PASTO (CT),PRIMAVERA,-77.29293879999999,1.2098928999999998
103,NARIÑO,PASTO (CT),JORGE GIRALDO,-77.2938552,1.2177749
104,NARIÑO,PASTO (CT),SANTA ANITA,-77.28440359999998,1.1925249
105,NARIÑO,PASTO (CT),JERUSALEN,-77.29612579999998,1.2027573
106,NARIÑO,PASTO (CT),VILLA DE LOS RIOS,-77.297443,1.2011795
107,NARIÑO,PASTO (CT),TEQUENDAMA,-77.283808,1.1988169
108,NARIÑO,PASTO (CT),TERRANOVA,-77.2728974,1.202063
109,NARIÑO,PASTO (CT),HOSPITAL CIVIL,-77.26975558510148,1.21905335
110,NARIÑO,PASTO (CT),LOS SAUCES,-77.2618819,1.2077928999999998
111,NARIÑO,PASTO (CT),LOS NOGALES,-77.27825159999998,1.2146286
112,NARIÑO,PASTO (CT),CIUDAD JARDIN,-77.28054859861156,1.19987435
113,NARIÑO,PASTO (CT),PLAZA DEL CARNAVAL,-77.27655374311702,1.2105614
114,NARIÑO,PASTO (CT),QUITO LOPEZ II,-77.2848345,1.1971989
115,NARIÑO,PASTO (CT),EL EDEN,-77.29273140000002,1.2079182
116,NARIÑO,PASTO (CT),QUILLACINGA,-77.2861338,1.1954465
117,NARIÑO,PASTO (CT),VILLA ANGELA,-77.26743688496433,1.21483095
118,NARIÑO,PASTO (CT),AVENIDA PANAMERICANA,-77.2797375,1.2009348
119,NARIÑO,PASTO (CT),MADRIGAl,-77.2815507,1.2149209
120,NARIÑO,PASTO (CT),AVENIDA LIBERTAD,-77.27825159999998,1.2146286
121,NARIÑO,PASTO (CT),EL FUTURO,-77.2785206,1.2164046
122,NARIÑO,PASTO (CT),QUITO LOPEZ I,-77.2853387,1.1955361999999998
123,NARIÑO,PASTO (CT),LOS GUADUALES,-77.28674240000002,1.1952921
124,NARIÑO,PASTO (CT),LA NORMAL,-77.28823940000002,1.2113075
