,Departamento,Capital,Barrio,long,lat
0,CÓRDOBA,MONTERÍA (CT),EL RECREO,-75.887029,8.7558921
1,CÓRDOBA,MONTERÍA (CT),LA CASTELLANA,-75.8663965,8.7725546
2,CÓRDOBA,MONTERÍA (CT),PASATIEMPO,-75.87412150083159,8.745909950000001
3,CÓRDOBA,MONTERÍA (CT),SUCRE,-75.887029,8.7558921
4,CÓRDOBA,MONTERÍA (CT),RANCHO GRANDE,-75.887029,8.7558921
5,CÓRDOBA,MONTERÍA (CT),MOCARI,-75.8509048,8.8008096
6,CÓRDOBA,MONTERÍA (CT),EL DORADO,-75.8994841,8.7640555
7,CÓRDOBA,MONTERÍA (CT),URBINA,-75.8835269,8.742755699999998
8,CÓRDOBA,MONTERÍA (CT),MOGAMBO,-75.87724810149653,8.732084350000001
9,CÓRDOBA,MONTERÍA (CT),NARIÑO,-75.87776198307566,8.761769399999999
10,CÓRDOBA,MONTERÍA (CT),LOS ROBLES,-75.887029,8.7558921
11,CÓRDOBA,MONTERÍA (CT),LA PRADERA,-75.871308,8.7436385
12,CÓRDOBA,MONTERÍA (CT),PASTRANA BORRERO,-75.8990105,8.7334787
13,CÓRDOBA,MONTERÍA (CT),EL EDEN,-75.87396118388202,8.75230445
14,CÓRDOBA,MONTERÍA (CT),P-5,-75.887029,8.7558921
15,CÓRDOBA,MONTERÍA (CT),EL INDUSTRIAL,-75.84313851223092,8.73414155
16,CÓRDOBA,MONTERÍA (CT),COLON,-75.887029,8.7558921
17,CÓRDOBA,MONTERÍA (CT),EL PRADO,-75.8903365,8.712474900000002
18,CÓRDOBA,MONTERÍA (CT),VILLA CAMPESTRE,-75.8940758,8.7487852
19,CÓRDOBA,MONTERÍA (CT),BRIZALIA,-75.87319090731633,8.757427499999999
20,CÓRDOBA,MONTERÍA (CT),LOS ALAMOS,-75.887029,8.7558921
21,CÓRDOBA,MONTERÍA (CT),TACASUAN,-75.8777187,8.7430649
22,CÓRDOBA,MONTERÍA (CT),CARIBE,-75.87587049999998,8.754529400000001
23,CÓRDOBA,MONTERÍA (CT),LOS NOGALES,-75.887029,8.7558921
24,CÓRDOBA,MONTERÍA (CT),EL CARMEN,-75.887029,8.7558921
25,CÓRDOBA,MONTERÍA (CT),VILLA CIELO,-75.8442996,8.752574699999998
26,CÓRDOBA,MONTERÍA (CT),COMFACOR,-75.87598544206364,8.741052100000001
27,CÓRDOBA,MONTERÍA (CT),LAS ACACIAS,-75.887029,8.7558921
28,CÓRDOBA,MONTERÍA (CT),EL PORTAL,-75.887029,8.7558921
29,CÓRDOBA,MONTERÍA (CT),VEREDA SAN JERONIMO,-75.88649048782818,8.7553999
30,CÓRDOBA,MONTERÍA (CT),COLÒN,-75.887029,8.7558921
31,CÓRDOBA,MONTERÍA (CT),URB.VALLEJO,-75.8982438,8.7548941
32,CÓRDOBA,MONTERÍA (CT),CASERIO EL TAPAO,-75.8253559,8.779732800000001
33,CÓRDOBA,MONTERÍA (CT),VILLA NAZARETH,-75.89065105249523,8.7318713
34,CÓRDOBA,MONTERÍA (CT),URB. VALLEJO,-75.8982438,8.7548941
35,CÓRDOBA,MONTERÍA (CT),LOS CEDROS,-75.887029,8.7558921
36,CÓRDOBA,MONTERÍA (CT),INDUSTRIAL,-75.84313851223092,8.73414155
37,CÓRDOBA,MONTERÍA (CT),EL TRIUNFO,-75.84050702832026,8.732300649999999
38,CÓRDOBA,MONTERÍA (CT),LA ALBORAYA,-75.88762443117196,8.7623104
39,CÓRDOBA,MONTERÍA (CT),COLISEO,-75.88165168339209,8.747247949999998
40,CÓRDOBA,MONTERÍA (CT),MANDALA,-75.887029,8.7558921
